Origin_Port,Destination_Port,Predicted_Lead_Time
Singapore,Rotterdam,10.835745
Hamburg,Dubai,8.917545
Shanghai,Busan,6.7965236
Shanghai,Marseille,3.8628101
Dubai,Busan,0.53221446
Dubai,Rotterdam,8.500813
Shanghai,Dubai,17.775162
Antwerp,Rotterdam,5.0628285
Antwerp,Rotterdam,1.0203704
Rotterdam,Los Angeles,19.766716
Singapore,Rotterdam,33.012093
Rotterdam,Los Angeles,37.71791
Singapore,Busan,16.264547
Dubai,Hamburg,2.2024534
Hamburg,Singapore,1.7415851
Shanghai,Marseille,0.13807927
Busan,Dubai,6.4650025
Rotterdam,Shanghai,28.498081
Singapore,Hamburg,1.3100224
Hamburg,Shanghai,2.2170548
Shanghai,Los Angeles,10.566265
Los Angeles,Rotterdam,74.94137
Rotterdam,Antwerp,20.497406
Rotterdam,Hamburg,10.865559
Singapore,Los Angeles,18.880953
Antwerp,Dubai,3.4061568
Hamburg,Rotterdam,43.458866
Dubai,Busan,5.6046414
Dubai,Singapore,0.43805647
Los Angeles,Rotterdam,2.0526874
Hamburg,Antwerp,8.1218815
Busan,Shanghai,24.061718
Hamburg,Marseille,5.5049253
Shanghai,Dubai,4.1287036
Hamburg,Singapore,16.558758
Los Angeles,Singapore,6.952673
Los Angeles,Shanghai,8.096676
Singapore,Marseille,1.0210015
Singapore,Dubai,72.756256
Rotterdam,Los Angeles,4.9451885
Antwerp,Los Angeles,38.469204
Busan,Los Angeles,29.171326
Dubai,Busan,43.758137
Los Angeles,Marseille,13.12945
Singapore,Busan,6.2806964
Dubai,Hamburg,17.251286
Singapore,Shanghai,11.576084
Rotterdam,Busan,34.59319
Dubai,Shanghai,1.5556508
Busan,Hamburg,10.789988
Singapore,Los Angeles,19.118805
Hamburg,Rotterdam,43.7826
Singapore,Dubai,10.041366
Busan,Marseille,8.723817
Los Angeles,Rotterdam,47.22811
Los Angeles,Dubai,2.5174482
Dubai,Los Angeles,1.4124814
Singapore,Los Angeles,26.492224
Hamburg,Antwerp,2.957433
Rotterdam,Hamburg,6.471139
Singapore,Los Angeles,181.36485
Busan,Marseille,15.190606
Rotterdam,Los Angeles,10.577309
Rotterdam,Dubai,27.468733
Rotterdam,Hamburg,11.330561
Hamburg,Antwerp,17.049768
Antwerp,Singapore,0.833225
Hamburg,Dubai,12.879829
Rotterdam,Antwerp,19.148106
Shanghai,Los Angeles,3.867101
Busan,Shanghai,5.9384685
Antwerp,Marseille,5.9416246
Singapore,Busan,2.2406356
Los Angeles,Rotterdam,20.361189
Los Angeles,Singapore,6.317285
Hamburg,Dubai,15.701312
Los Angeles,Marseille,1.2332243
Antwerp,Busan,14.406395
Singapore,Antwerp,9.636794
Rotterdam,Los Angeles,1.3117244
Busan,Rotterdam,2.3570669
Busan,Los Angeles,9.804545
Busan,Shanghai,9.053204
Rotterdam,Dubai,15.637916
Busan,Shanghai,1.1698736
Hamburg,Antwerp,5.5805874
Hamburg,Shanghai,0.9489579
Singapore,Rotterdam,3.9847887
Shanghai,Antwerp,7.3554535
Busan,Shanghai,2.6970818
Rotterdam,Busan,20.259216
Busan,Antwerp,25.878363
Hamburg,Busan,219.59521
Busan,Los Angeles,6.3490477
Hamburg,Shanghai,51.30932
Los Angeles,Shanghai,3.9103208
Rotterdam,Shanghai,3.0795429
Hamburg,Antwerp,63.16336
Shanghai,Singapore,11.963386
Busan,Shanghai,16.684557
Rotterdam,Los Angeles,52.726448
Hamburg,Shanghai,8.225636
Rotterdam,Shanghai,11.576902
Singapore,Hamburg,23.166475
Busan,Antwerp,4.5742617
Singapore,Shanghai,22.5136
Rotterdam,Antwerp,89.580215
Singapore,Marseille,0.3933308
Dubai,Los Angeles,2.6321328
Busan,Singapore,87.02516
Busan,Marseille,1.0044016
Singapore,Shanghai,6.0248103
Busan,Los Angeles,6.1788135
Shanghai,Singapore,0.48524585
Rotterdam,Busan,4.3431907
Busan,Antwerp,1.2590106
Antwerp,Shanghai,47.26804
Shanghai,Antwerp,6.2137523
Shanghai,Marseille,5.212939
Dubai,Shanghai,4.038711
Los Angeles,Antwerp,28.010124
Dubai,Los Angeles,1.3641566
Singapore,Dubai,22.478716
Dubai,Marseille,3.2922828
Busan,Marseille,20.638103
Singapore,Dubai,8.087981
Hamburg,Los Angeles,5.1529517
Singapore,Hamburg,6.7363267
Dubai,Singapore,11.816164
Shanghai,Marseille,0.6623575
Busan,Los Angeles,30.83998
Dubai,Hamburg,2.8527467
Los Angeles,Busan,4.415954
Antwerp,Rotterdam,0.2741397
Busan,Hamburg,2.2945454
Shanghai,Busan,137.16093
Antwerp,Los Angeles,1.4262637
Busan,Hamburg,5.717103
Rotterdam,Los Angeles,34.05869
Rotterdam,Antwerp,37.18
Hamburg,Antwerp,8.654747
Shanghai,Busan,16.579227
Shanghai,Hamburg,7.6237764
Hamburg,Singapore,0.57455826
Rotterdam,Busan,1.4205109
Hamburg,Marseille,35.649445
Hamburg,Rotterdam,0.607602
Antwerp,Los Angeles,3.2298577
Shanghai,Antwerp,166.60365
Shanghai,Antwerp,33.81084
Shanghai,Busan,20.92753
Los Angeles,Antwerp,38.49251
Dubai,Singapore,83.84173
Rotterdam,Hamburg,1.5254985
Shanghai,Rotterdam,1.0699171
Los Angeles,Busan,3.5744433
Los Angeles,Hamburg,0.70510805
Shanghai,Dubai,1.5769948
Dubai,Los Angeles,1.0963491
Busan,Los Angeles,36.323277
Rotterdam,Dubai,7.419937
Rotterdam,Dubai,25.704561
Busan,Hamburg,7.1617026
Los Angeles,Dubai,2.9294755
Hamburg,Busan,0.6264167
